Region,Year,Total,1Room_rent_SQM,2Room_rent_SQM,3Room_rent_SQM,4Room_rent_SQM,5Room_rent_SQM,6Room_rent_SQM,Empty_quota,Density_p_per_room,density_p_per_flat,Size_per_p_in_sqm,Ownership_quota,Amount_total,amount_Rentals,amount_Genossenschaft,amount_own_flat,amount_own_house,amount_Others
Uri,2015,13.1,14.3,15.7,12.7,12.8,12.9,11.6,1.39,  0.57 ,  2.4 ,  44.8 ,  49.7 ,14881,6417,556,1801,5595,511
Schwyz,2015,16.5,14.3,16.8,16.6,16.5,16.3,16.3,0.93,  0.58 ,  2.3 ,  48.3 ,  42.8 ,65059,34630,606,9054,18823,1946
Obwalden,2015,13.2,7.1,15,13,13.4,12.4,13,0.61,  0.59 ,  2.4 ,  46.7 ,  48.4 ,15471,7381,0,2441,5044,605
Nidwalden,2015,15.3,12.8,17.9,15.3,14.8,15.4,14.5,1.39,  0.58 ,  2.3 ,  48.4 ,  43.1 ,18375,9720,169,3499,4422,566
Glarus,2015,11.6,0,11.8,11.8,11.8,10.7,9.5,1.69,  0.54 ,  2.3 ,  49.0 ,  48.7 ,17430,8172,256,1208,7279,516
Zug,2015,19.3,22.6,21.1,19.5,18.6,18.9,19.4,0.34,  0.61 ,  2.3 ,  47.0 ,  34.2 ,52273,32499,981,9871,8010,912
Freiburg,2015,14.1,16.1,15.2,14.2,13.5,13.4,13.6,1.24,  0.63 ,  2.4 ,  44.2 ,  44.9 ,124169,62016,550,11037,44707,5859
Solothurn,2015,13.2,14.6,14.3,13.4,12.8,12.4,12.8,2.62,  0.55 ,  2.2 ,  49.1 ,  48.8 ,117228,56323,1372,8902,48252,2379
Basel_Stadt,2015,16.9,18.4,17.8,16.4,16.5,17.1,19.8,0.42,  0.62 ,  2.0 ,  41.4 ,  15.5 ,95983,70191,9699,5560,9365,1168
Basel-Land,2015,16,14.8,16.9,16.3,15.7,14.9,19.5,0.47,  0.57 ,  2.2 ,  47.3 ,  45.8 ,124622,61402,3455,11551,45572,2641
Schaffhausen,2015,13.1,12.1,15.4,13.1,12.3,13.1,14.1,1.68,  0.54 ,  2.2 ,  50.4 ,  44.6 ,36053,18575,916,3417,12677,468
Appenzell_A,2015,12.6,11.6,13.4,13,13.1,11.1,10.7,1.99,  0.53 ,  2.3 ,  49.7 ,  50.4 ,23129,10536,252,1798,9868,675
Appenzell_I,2015,13.3,0,15.5,12.9,13.7,12.9,11.9,3.63,  0.55 ,  2.5 ,  47.5 ,  53.3 ,6290,2789,0,366,2986,149
St.Gallen,2015,13.6,14.1,14.7,14,13.4,12.6,13.2,1.77,  0.56 ,  2.3 ,  46.9 ,  43.0 ,213233,114917,2809,22735,68851,3921
